2236347068	2236347068.fna	bacteria00001	bacteria00001.fna
2236347069	2236347069.fna	bacteria00002	bacteria00002.fna
2236661000	2236661000.fna	bacteria00003	bacteria00003.fna
2236661001	2236661001.fna	bacteria00004	bacteria00004.fna
2236661002	2236661002.fna	bacteria00005	bacteria00005.fna
2236661003	2236661003.fna	bacteria00006	bacteria00006.fna
2236661004	2236661004.fna	bacteria00007	bacteria00007.fna
2236661005	2236661005.fna	bacteria00008	bacteria00008.fna
2236661006	2236661006.fna	bacteria00009	bacteria00009.fna
2236661007	2236661007.fna	bacteria00010	bacteria00010.fna
2236661008	2236661008.fna	bacteria00011	bacteria00011.fna
2236661009	2236661009.fna	bacteria00012	bacteria00012.fna
2236876027	2236876027.fna	bacteria00013	bacteria00013.fna
2236876028	2236876028.fna	bacteria00014	bacteria00014.fna
2236876029	2236876029.fna	bacteria00015	bacteria00015.fna
2236876030	2236876030.fna	bacteria00016	bacteria00016.fna
2236876031	2236876031.fna	bacteria00017	bacteria00017.fna
2236876032	2236876032.fna	bacteria00018	bacteria00018.fna
2264265094	2264265094.fna	bacteria00019	bacteria00019.fna
2264265190	2264265190.fna	bacteria00020	bacteria00020.fna
2505679121	2505679121.fna	bacteria00021	bacteria00021.fna
2518285508	2518285508.fna	bacteria00022	bacteria00022.fna
2519103005	2519103005.fna	bacteria00023	bacteria00023.fna
2519899769	2519899769.fna	bacteria00024	bacteria00024.fna
2524023172	2524023172.fna	bacteria00025	bacteria00025.fna
2524023174	2524023174.fna	bacteria00026	bacteria00026.fna
2524023175	2524023175.fna	bacteria00027	bacteria00027.fna
2524023176	2524023176.fna	bacteria00028	bacteria00028.fna
2524023178	2524023178.fna	bacteria00029	bacteria00029.fna
2524023179	2524023179.fna	bacteria00030	bacteria00030.fna
2524023189	2524023189.fna	bacteria00031	bacteria00031.fna
2541046968	2541046968.fna	bacteria00032	bacteria00032.fna
2545555807	2545555807.fna	bacteria00033	bacteria00033.fna
2545555832	2545555832.fna	bacteria00034	bacteria00034.fna
2582580512	2582580512.fna	bacteria00035	bacteria00035.fna
