phyla,variable,value
Acidobacteria,hgcA,0
Actinobacteria,hgcA,0
Aminicenantes,hgcA,0
Bacteroidetes,hgcA,0
Chlorobi,hgcA,0
Chloroflexi,hgcA,0
Deltaproteobacteria,hgcA,52.63695114
Elusimicrobia,hgcA,0
Euryarchaeota,hgcA,0
FCPU426,hgcA,0
Fibrobacteres,hgcA,0
Nitrospirae,hgcA,0
Acidobacteria,hgcA,0
Actinobacteria,hgcA,0
Aminicenantes,hgcA,0
Bacteroidetes,hgcA,2.842638402
Chlorobi,hgcA,0
Chloroflexi,hgcA,0
Deltaproteobacteria,hgcA,0
Elusimicrobia,hgcA,0
Euryarchaeota,hgcA,0
FCPU426,hgcA,0
Fibrobacteres,hgcA,0
Nitrospirae,hgcA,0
Acidobacteria,hgcA,0
Actinobacteria,hgcA,0
Aminicenantes,hgcA,0
Bacteroidetes,hgcA,19.36393115
Chlorobi,hgcA,0
Chloroflexi,hgcA,2.033751684
Deltaproteobacteria,hgcA,14.5022828
Elusimicrobia,hgcA,0
Euryarchaeota,hgcA,6.056200414
FCPU426,hgcA,0
Fibrobacteres,hgcA,0
Nitrospirae,hgcA,0
Acidobacteria,hgcA,0.2188111
Actinobacteria,hgcA,0
Aminicenantes,hgcA,0
Bacteroidetes,hgcA,15.56203753
Chlorobi,hgcA,8.019593274
Chloroflexi,hgcA,9.225002444
Deltaproteobacteria,hgcA,2.753484723
Elusimicrobia,hgcA,0
Euryarchaeota,hgcA,0
FCPU426,hgcA,0
Fibrobacteres,hgcA,0
Nitrospirae,hgcA,0
Acidobacteria,hgcA,0
Actinobacteria,hgcA,0
Aminicenantes,hgcA,0
Bacteroidetes,hgcA,4.03255688
Chlorobi,hgcA,0
Chloroflexi,hgcA,0
Deltaproteobacteria,hgcA,23.35338827
Elusimicrobia,hgcA,0
Euryarchaeota,hgcA,0
FCPU426,hgcA,0
Fibrobacteres,hgcA,3.82148641
Nitrospirae,hgcA,0
Acidobacteria,hgcA,0
Actinobacteria,hgcA,0
Aminicenantes,hgcA,0
Bacteroidetes,hgcA,0
Chlorobi,hgcA,0
Chloroflexi,hgcA,0
Deltaproteobacteria,hgcA,13.25855955
Elusimicrobia,hgcA,0
Euryarchaeota,hgcA,0
FCPU426,hgcA,0
Fibrobacteres,hgcA,0
Nitrospirae,hgcA,0
Acidobacteria,hgcA,0
Actinobacteria,hgcA,0
Aminicenantes,hgcA,0
Bacteroidetes,hgcA,0
Chlorobi,hgcA,0
Chloroflexi,hgcA,0
Deltaproteobacteria,hgcA,21.53755226
Elusimicrobia,hgcA,0
Euryarchaeota,hgcA,0
FCPU426,hgcA,4.942250463
Fibrobacteres,hgcA,0
Nitrospirae,hgcA,0
Acidobacteria,hgcA,0
Actinobacteria,hgcA,0
Aminicenantes,hgcA,0
Bacteroidetes,hgcA,69.85676428
Chlorobi,hgcA,9.88365436
Chloroflexi,hgcA,17.35113653
Deltaproteobacteria,hgcA,11.49608277
Elusimicrobia,hgcA,0
Euryarchaeota,hgcA,33.08909864
FCPU426,hgcA,0
Fibrobacteres,hgcA,0
Nitrospirae,hgcA,7.868846217
Acidobacteria,hgcA,0.384696151
Actinobacteria,hgcA,0.353941617
Aminicenantes,hgcA,0
