genome_name	original_name	genome_size	completeness	redundancy	taxonomy	gtdb_taxonomy	filename
archaea00015	GCA_000011005.1	2.96	100	0.6535947712418301	Methanocella paludicola SANAE 	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__	archaea00015.fna
archaea00024	GCA_000013445.1	3.54	99.01960784313725	0.32679738562091504	Methanospirillum hungatei JF-1 	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__	archaea00024.fna
archaea00041	GCA_000017625.1	2.54	99.54248366013073	1.3071895424836601	Methanoregula boonei 6A8 	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00041.fna
archaea00050	GCA_000021965.1	2.92	99.83552631578948	0	Methanosphaerula palustris E1-9c 	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__	archaea00050.fna
archaea00075	GCA_000063445.1	3.18	100	0	Methanocella arvoryzae MRE50 	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanocellales;f__Methanocellaceae;g__;s__	archaea00075.fna
archaea00142	GCA_000306725.1	3.07	99.83660130718954	0	Methanolobus psychrophilus R15 	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus_A;s__	archaea00142.fna
archaea00145	GCA_000327485.1	2.82	99.86928104575165	0	Methanoregula formicica SMSP 	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00145.fna
archaea00148	GCA_000328665.1	2.71	99.83660130718954	0.32679738562091504	Methanomethylovorans hollandica DSM 15978 	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__	archaea00148.fna
archaea00312	GCA_002494705.1	1.71	95	0	Methanomassiliicoccus sp. UBA238	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	archaea00312.fna
archaea00330	GCA_002495055.1	2.75	94.99547511312217	5.3795877325289085	Methanoregula sp. UBA247	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	archaea00330.fna
