GCA_900476375.1	100.00	4.13
GCA_900217235.1	100.00	0.00
GCA_900184255.1	100.00	3.56
GCA_900176285.1	100.00	0.97
GCA_900167065.1	100.00	0.02
GCA_900141635.1	100.00	0.70
GCA_900129935.1	100.00	1.15
GCA_900129305.1	100.00	1.45
GCA_005116655.1	100.00	0.60
GCA_005116645.1	100.00	1.19
GCA_004343635.1	100.00	0.34
GCA_004321925.1	100.00	5.45
GCA_004102745.1	100.00	1.01
GCA_003574175.1	100.00	0.00
GCA_003337725.1	100.00	1.09
GCA_003245835.1	100.00	6.32
GCA_003003035.1	100.00	1.09
GCA_002868905.1	100.00	0.32
GCA_002839185.1	100.00	0.00
GCA_002838975.1	100.00	12.93
GCA_002428705.1	100.00	0.00
GCA_002428495.1	100.00	0.00
GCA_002117975.1	100.00	0.00
GCA_001874525.1	100.00	0.59
GCA_001717745.1	100.00	0.56
GCA_001618385.1	100.00	0.54
GCA_001604475.1	100.00	2.37
GCA_000699585.1	100.00	4.20
GCA_000686525.1	100.00	1.09
GCA_000621505.1	100.00	2.13
GCA_000429965.1	100.00	0.00
GCA_000429945.1	100.00	0.00
GCA_000429305.1	100.00	0.60
GCA_000426865.1	100.00	0.65
GCA_000422545.1	100.00	0.00
GCA_000422245.1	100.00	0.00
GCA_000420485.1	100.00	0.20
GCA_000372005.1	100.00	97.41
GCA_000350485.1	100.00	0.78
GCA_000344315.1	100.00	0.00
GCA_000309335.1	100.00	110.62
GCA_000212675.2	100.00	0.00
GCA_000190635.1	100.00	0.34
GCA_000189295.2	100.00	0.59
GCA_000175115.2	100.00	0.00
GCA_000174435.1	100.00	0.33
GCA_000063445.1	100.00	0.00
GCA_000023645.1	100.00	0.00
GCA_000011005.1	100.00	0.65
GCA_003046795.1	99.98	2.38
GCA_002841885.1	99.98	0.00
GCA_000717475.2	99.98	0.00
GCA_900114595.1	99.96	0.00
GCA_000023225.1	99.96	0.00
GCA_003574895.1	99.95	1.29
GCA_004766055.1	99.94	1.02
GCA_004343605.1	99.94	0.04
GCA_003590275.1	99.94	0.04
GCA_002196785.1	99.94	3.49
GCA_001707455.1	99.94	0.17
GCA_000512895.1	99.94	0.47
GCA_000445165.1	99.94	0.38
GCA_000309295.1	99.94	14.21
GCA_000305815.1	99.94	0.00
GCA_000305775.1	99.94	0.00
GCA_001749745.1	99.93	8.69
GCA_900143695.1	99.91	0.60
GCA_005116675.1	99.91	1.19
GCA_002733995.1	99.91	0.63
GCA_000961725.1	99.87	0.89
GCA_000327485.1	99.87	0.00
GCA_000817955.1	99.84	0.00
GCA_900114835.1	99.84	0.65
GCA_001714685.2	99.84	3.27
GCA_000328665.1	99.84	0.33
GCA_000306725.1	99.84	0.00
GCA_000021965.1	99.84	0.00
GCA_002196705.1	99.83	3.32
GCA_900101495.1	99.82	1.89
GCA_000020725.1	99.78	0.00
GCA_000934745.1	99.78	0.60
GCA_006546655.1	99.67	0.65
