1.easyfig.fa	2.easyfig.fa	67.959	1161	362	7	5109	6262	13459	12302	4.94e-111	394
1.easyfig.fa	2.easyfig.fa	71.394	409	116	1	4519	4927	13970	13563	1.42e-54	206
1.easyfig.fa	2.easyfig.fa	81.081	37	6	1	4435	4470	14055	14019	0.065	31.9
1.easyfig.fa	2.easyfig.fa	90.000	20	2	0	1017	1036	6230	6249	0.79	28.3
1.easyfig.fa	2.easyfig.fa	94.118	17	1	0	2760	2776	9386	9402	2.7	26.5
1.easyfig.fa	2.easyfig.fa	94.118	17	1	0	12044	12060	12842	12826	2.7	26.5
1.easyfig.fa	2.easyfig.fa	100.000	13	0	0	14373	14385	5929	5941	9.6	24.7
1.easyfig.fa	2.easyfig.fa	100.000	13	0	0	10480	10492	6920	6932	9.6	24.7
1.easyfig.fa	2.easyfig.fa	88.889	18	2	0	14817	14834	9517	9534	9.6	24.7
1.easyfig.fa	2.easyfig.fa	93.750	16	1	0	3110	3125	9859	9874	9.6	24.7
1.easyfig.fa	2.easyfig.fa	100.000	13	0	0	4137	4149	16168	16180	9.6	24.7
